,Bus Name,Bus Type,Departing Time,Duration,Reaching Time,Star Rating,Price
0,APSRTC - 35188,VENNELA (A.C. SLEEPER),00:40,05h 45m,06:25,4.8,INR 737
1,APSRTC - 3563,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:00,06h 15m,07:15,3.5,INR 448
2,APSRTC - 35266,VENNELA (A.C. SLEEPER),01:25,05h 45m,07:10,3.5,INR 737
3,APSRTC - 3590,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:45,06h 15m,08:00,4.7,INR 448
4,APSRTC - 3058,VENNELA (A.C. SLEEPER),02:10,05h 45m,07:55,3.9,INR 737
5,APSRTC - 3548,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:00,05h 30m,08:30,4.5,INR 448
6,APSRTC - 35197,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),03:10,05h 25m,08:35,4.7,INR 633
7,APSRTC - 35190,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),04:10,05h 20m,09:30,3.9,INR 633
8,APSRTC - 3558,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),04:20,05h 00m,09:20,4.6,INR 683
9,APSRTC - 35267,INDRA(A.C. Seater),04:30,05h 34m,10:04,3.5,INR 538
10,APSRTC - 3540,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:45,07h 20m,12:05,3.1,INR 444
11,APSRTC - 3586,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),05:10,05h 15m,10:25,4.2,INR 683
12,APSRTC - 35062,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:20,07h 30m,12:50,3.4,INR 444
13,APSRTC - 35196,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:30,06h 35m,12:05,3.6,INR 444
14,APSRTC - 35274,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),06:10,05h 24m,11:34,4.2,INR 683
15,APSRTC - 23701,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:15,06h 15m,12:30,5.0,INR 436
16,APSRTC - 4045,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:15,07h 35m,13:50,3.8,INR 448
17,APSRTC - 3592,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:00,07h 20m,14:20,3.4,INR 444
18,APSRTC - 3574,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),07:15,05h 39m,12:54,4.2,INR 683
19,APSRTC - 3572,DOLPHIN CRUISE (VOLVO / SCANIA A.C Multi Axle),07:30,06h 34m,14:04,3.9,INR 683
20,APSRTC - 3822,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:50,06h 45m,14:35,3.2,INR 469
21,APSRTC - 9401,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:00,07h 05m,15:05,2.1,INR 444
22,APSRTC - 3749,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:50,06h 55m,15:45,3.1,INR 444
23,APSRTC - 4726,INDRA(A.C. Seater),08:55,05h 20m,14:15,2.0,INR 528
