Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 194408,Express Non AC Seater 2+3,12:35,04h 30m,17:05,3.9,INR 229,42 Seats available
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 157455,Super Luxury Volvo AC Seater Pushback 2+2,13:00,04h 00m,17:00,4.4,INR 460,21 Seats available
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,RSRTC - 190571,Express Non AC Seater 2+3,13:15,04h 45m,18:00,2.1,INR 229,42 Seats available
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,,,,,,,,
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,,,,,,,,
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,,,,,,,,
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,,,,,,,,
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,,,,,,,,
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,,,,,,,,
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,,,,,,,,
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 180151,Express Non AC Seater 2+3,12:30,04h 15m,16:45,3.7,INR 211,42 Seats available
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 174461,Express Non AC Seater 2+3,13:05,03h 55m,17:00,3.7,INR 211,42 Seats available
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 195217,Express Non AC Seater 2+3,13:22,04h 23m,17:45,3.7,INR 211,42 Seats available
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,,,,,,,,
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,,,,,,,,
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,,,,,,,,
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,,,,,,,,
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,,,,,,,,
