Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),13:45,04h 30m,18:15,4.5,INR 299,29 Seats available
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),13:45,05h 10m,18:55,4.3,INR 299,35 Seats available
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,Mayuri Express,A/C Seater (2+3),11:15,04h 45m,16:00,4.3,INR 250,53 Seats available
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,,,,,,,,
Digha to Kolkata,https://www.redbus.in/bus-tickets/digha-to-kolkata,,,,,,,,
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,05h 00m,04:30,4.6,INR 450,33 Seats available
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,05h 13m,05:10,4.2,INR 400,41 Seats available
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,Sagufta Travels(Maa Chandi),,23:57,05h 13m,05:10,4.1,347,
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,,,,,,,,
Kolkata to Digha,https://www.redbus.in/bus-tickets/kolkata-to-digha,,,,,,,,
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),14:30,03h 45m,18:15,4.7,INR 299,29 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),10:35,04h 45m,15:20,4.4,INR 299,20 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),14:30,04h 25m,18:55,4.4,INR 299,35 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Mayuri Express,AC Seater (2+2),11:20,04h 10m,15:30,4.2,INR 280,37 Seats available
Mandarmani to Kolkata,https://www.redbus.in/bus-tickets/mandarmani-to-kolkata,Greenline,,14:10,04h 15m,18:25,4.0,INR 250,
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,04h 15m,03:45,4.8,INR 450,34 Seats available
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Express Line,Volvo 9600 A/C Semi Sleeper (2+2),23:45,04h 20m,04:05,4.5,INR 299,39 Seats available
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Sagufta Travels(Maa Chandi),A/C Seater / Sleeper (2+2),23:57,04h 30m,04:27,4.5,347,35 Seats available
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,Maa Chandi Travels,A/C Seater / Sleeper (2+2),23:57,04h 23m,04:20,3.9,INR 400,41 Seats available
Kolkata to Mandarmani,https://www.redbus.in/bus-tickets/kolkata-to-mandarmani,,,,,,,,
