Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,04h 00m,09:00,3.9,INR 270,2 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 173420,Bharat Benz A/C Seater (2+2),10:35,04h 40m,15:15,4.2,INR 298,10 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Assam State Transport Corporation (ASTC) - 139847,Volvo AC Seater 2+2,16:15,04h 15m,20:30,4.1,INR 298,15 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,NEELKANTH TRAVELS,A/C Seater Push Back (2+2),05:15,03h 15m,08:30,4.3,297,31 Seats available
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,,,,,,,,
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,,,,,,,,
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,,,,,,,,
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,,,,,,,,
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 139846,Volvo AC Seater 2+2,06:10,03h 50m,10:00,4.2,INR 298,13 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,04h 30m,15:00,3.7,INR 298,21 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Assam State Transport Corporation (ASTC) - 139720,Volvo AC Seater 2+2,13:45,04h 15m,18:00,3.5,INR 298,28 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Aziba Travels,NON A/C Seater (2+1),05:45,04h 55m,10:40,4.6,347,20 Seats available
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,,,,,,,,
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,,,,,,,,
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,,,,,,,,
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,,,,,,,,
