Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Krish Travels,A/C Seater / Sleeper (2+1),21:15,09h 15m,06:30,4.7,INR 750,19 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",THIRU Travels,A/C Seater / Sleeper (2+1),21:10,08h 45m,05:55,4.6,INR 699,16 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:58,08h 32m,05:30,4.6,INR 629,33 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",AdNew Lucky Travels,A/C Sleeper (2+1),22:00,08h 15m,06:15,4.1,874,12 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",LION Travels,A/C Seater / Sleeper (2+1),21:50,08h 40m,06:30,4.5,INR 600,22 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:48,08h 27m,06:15,4.6,INR 659,28 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Egloo Travels,A/C Sleeper (2+1),21:30,08h 15m,05:45,4.6,750,5 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",AdLucky travels (lucky kitta),NON A/C Sleeper (2+1),21:30,08h 30m,06:00,4.1,INR 999,17 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Mettur Super Services(mss),A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,4.5,INR 650,6 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Egloo Travels,A/C Sleeper (2+1),21:00,08h 20m,05:20,4.5,750,10 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Tranz king travels,A/C Sleeper (2+1),20:05,08h 30m,04:35,4.2,INR 1100,12 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",KABINI TRAVELS,Non A/C Seater / Sleeper (2+1),21:30,08h 55m,06:25,4.0,501,22 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",VKV Travels,A/C Sleeper (2+1),19:15,08h 40m,03:55,4.7,1710,10 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",BLUE BIRDS TRAVELS,A/C Sleeper (2+1),21:30,08h 00m,05:30,4.5,1358,10 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Luxe Xpress,NON A/C Seater/ Sleeper (2+1),21:45,09h 00m,06:45,4.2,500,18 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Krish Travels,A/C Sleeper (2+1),22:00,08h 15m,06:15,4.5,INR 900,18 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Zingbus Plus,AC Sleeper (2+1),21:30,10h 00m,07:30,4.5,837,21 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:45,09h 25m,08:10,4.5,INR 589,31 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Selva Murugan Travels,A/C Sleeper (2+1),21:10,09h 00m,06:10,4.5,INR 899,17 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Luxe Xpress,A/C Sleeper (2+1),22:00,09h 20m,07:20,4.5,963,23 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,AC Sleeper (2+1),22:13,08h 27m,06:40,4.5,INR 959,13 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Sri Kumaran Travels,A/C Sleeper (2+1),13:25,07h 55m,21:20,4.4,INR 1199,15 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:40,08h 15m,06:55,4.4,INR 659,32 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",VKV Travels,A/C Sleeper (2+1),15:30,08h 20m,23:50,4.5,846,15 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:30,10h 20m,06:50,4.4,INR 599,26 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Luxe Xpress,A/C Sleeper (2+1),22:00,09h 31m,07:31,4.4,963,20 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Sri Kumaran Travels,A/C Seater / Sleeper (2+1),23:00,08h 35m,07:35,4.3,INR 699,31 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Krish Travels,NON AC Seater / Sleeper 2+1,21:45,08h 15m,06:00,4.3,INR 600,31 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Selva Murugan Travels,Non A/C Seater / Sleeper (2+1),20:40,09h 50m,06:30,4.2,INR 449,23 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",New Lucky Travels,NON A/C Sleeper (2+1),23:10,08h 20m,07:30,3.9,830,24 Seats available
