Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,SBM TRAANSPORT,A/C Sleeper (2+1),22:45,06h 30m,05:15,4.6,INR INR 800,17 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,MS TRANSPORT,A/C Sleeper (2+1),22:15,08h 15m,06:30,4.7,INR 599,6 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,VIVIN Travels,A/C Sleeper (2+1),21:45,08h 15m,06:00,4.6,INR 700,11 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,AdALIF Travels,NON A/C Sleeper (2+1),21:55,07h 10m,05:05,4.2,INR 522,17 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,VIVIN Travels,A/C Sleeper (2+1),21:30,08h 30m,06:00,4.5,INR 700,8 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,Sri Srinivasa Bus,A/C Sleeper (2+1),22:00,07h 40m,05:40,4.5,INR 700,17 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,YBM Travels(BLM),A/C Sleeper (2+1),22:00,07h 30m,05:30,4.4,INR INR 790,24 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,VINOTH TRAVELS,VE A/C Sleeper (2+1),22:30,06h 55m,05:25,4.3,INR 650,25 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,Sri Srinivasa Bus,Non A/C Seater / Sleeper (2+1),21:30,07h 45m,05:15,4.3,INR 400,19 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,Tranz king travels,A/C Sleeper (2+1),22:15,07h 45m,06:00,4.4,INR INR 700,19 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,Sri Srinivasa Bus,A/C Sleeper (2+1),12:45,07h 45m,20:30,4.5,INR 500,22 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,PR Travels,A/C Sleeper (2+1),22:15,07h 30m,05:45,4.3,INR INR 700,17 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,New United Travels,A/C Sleeper (2+1),22:20,07h 25m,05:45,4.3,INR 800,15 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,KS TRAVELS,NON A/C Seater (2+2),21:30,07h 25m,04:55,4.5,INR INR 999,40 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Sleeper (2+1),22:35,06h 45m,05:20,4.2,INR INR 750,20 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,Rathimeena Travels A,Non A/C Seater / Sleeper (2+1),22:00,07h 00m,05:00,4.1,INR INR 570,36 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,Ayush Tours and Travels,A/C Seater / Sleeper (2+1),21:30,08h 15m,05:45,4.2,INR INR 499,27 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,PR Travels,NON A/C Seater Push Back (2+2),22:15,07h 15m,05:30,4.1,INR INR 400,23 Seats available
Thanjavur to Chennai,https://www.redbus.in/bus-tickets/thanjavur-to-chennai?fromCityName=Thanjavur&fromCityId=66007&srcCountry=IND&toCityName=Chennai&toCityId=123&destCountry=null&onward=26-Apr-2025&opId=0&busType=Any,(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Seater / Sleeper (2+1),22:40,07h 40m,06:20,4.2,INR INR 500,32 Seats available
