Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Central%20Bus%20Stand,%20Tiruchirapalli&fromCityId=203662&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",MBT TRAVELS,A/C Sleeper (2+1),23:00,06h 35m,05:35,4.8,INR 499,10 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Central%20Bus%20Stand,%20Tiruchirapalli&fromCityId=203662&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Sri Renu Travels,A/C Seater / Sleeper (2+1),23:30,06h 25m,05:55,4.7,INR 450,9 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Central%20Bus%20Stand,%20Tiruchirapalli&fromCityId=203662&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",VKV Travels,A/C Sleeper (2+1),17:20,06h 15m,23:35,4.8,1036,7 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Central%20Bus%20Stand,%20Tiruchirapalli&fromCityId=203662&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",New United Travels,A/C Sleeper (2+1),22:30,07h 30m,06:00,4.8,INR 700,8 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Central%20Bus%20Stand,%20Tiruchirapalli&fromCityId=203662&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,06h 30m,05:55,4.5,INR 379,12 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Central%20Bus%20Stand,%20Tiruchirapalli&fromCityId=203662&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:15,07h 30m,05:45,4.5,INR 419,7 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Central%20Bus%20Stand,%20Tiruchirapalli&fromCityId=203662&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Mettur Super Services(mss),A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,4.1,INR 349,24 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Central%20Bus%20Stand,%20Tiruchirapalli&fromCityId=203662&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Samy Travels,A/C Sleeper (2+1),22:55,06h 45m,05:40,4.3,INR 549,11 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Central%20Bus%20Stand,%20Tiruchirapalli&fromCityId=203662&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",NueGo,Electric A/C Seater/Sleeper (2+1),22:00,07h 15m,05:15,4.2,475,9 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Central%20Bus%20Stand,%20Tiruchirapalli&fromCityId=203662&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",ACLS Navigator,A/C Sleeper (2+1),23:55,05h 55m,05:50,4.5,899,4 Seats available
