Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",MBT TRAVELS,A/C Sleeper (2+1),23:00,06h 35m,05:35,4.8,INR INR 599,5 Seats available
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Sri Renu Travels,A/C Seater / Sleeper (2+1),23:30,06h 25m,05:55,4.7,INR INR 399,16 Seats available
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",New United Travels,A/C Sleeper (2+1),22:30,07h 30m,06:00,4.7,INR 800,19 Seats available
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",AdRed Express Travels,A/C Sleeper (2+1),21:45,06h 50m,04:35,4.3,INR INR 640,21 Seats available
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Sri Renu Travels,A/C Seater / Sleeper (2+1),13:30,06h 50m,20:20,4.6,INR INR 349,21 Seats available
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",LION Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:35,06h 40m,05:15,4.6,INR INR 450,38 Seats available
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",BLUE BIRDS TRAVELS,A/C Sleeper (2+1),10:25,05h 55m,16:20,4.6,INR 618,7 Seats available
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",AdRed Express Travels,A/C Sleeper (2+1),23:15,06h 20m,05:35,4.2,INR INR 550,19 Seats available
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Mettur Super Services(mss),A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,4.1,INR INR 450,19 Seats available
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Krish Travels,A/C Sleeper (2+1),23:15,06h 15m,05:30,4.7,INR INR 700,14 Seats available
Trichy to CMBT,"https://www.redbus.in/search?fromCityName=Trichy&fromCityId=71929&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",VKV Travels,A/C Sleeper (2+1),17:20,06h 15m,23:35,4.8,INR 1131,14 Seats available
