Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 1049,RAJDHANI (A.C. Semi Sleeper),02:10,03h 00m,05:10,3.2,INR 351,37 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 40910,Super Luxury (Non AC Seater 2+2 Push Back),02:20,02h 40m,05:00,3.0,INR 289,33 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 9885,Super Luxury (Non AC Seater 2+2 Push Back),03:05,03h 00m,06:05,3.2,INR 289,32 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 1594,Rajdhani (AC Semi Sleeper 2+2),03:35,02h 40m,06:15,3.2,INR 351,29 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 31162,Rajdhani (AC Semi Sleeper 2+2),03:50,03h 00m,06:50,3.2,INR 351,31 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 41110,Super Luxury (Non AC Seater 2+2 Push Back),04:30,02h 40m,07:10,4.2,INR 289,28 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 1824,RAJDHANI (A.C. Semi Sleeper),04:50,03h 00m,07:50,3.2,INR 351,37 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 40510,Super Luxury (Non AC Seater 2+2 Push Back),05:00,02h 40m,07:40,1.8,INR 289,33 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 1412,Rajdhani (AC Semi Sleeper 2+2),05:10,02h 35m,07:45,2.0,INR 351,31 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 42762,Super Luxury (Non AC Seater 2+2 Push Back),05:20,03h 00m,08:20,2.4,INR 289,33 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 1586,Rajdhani (AC Semi Sleeper 2+2),05:30,03h 00m,08:30,3.2,INR 351,31 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 41310,Super Luxury (Non AC Seater 2+2 Push Back),05:40,02h 40m,08:20,3.6,INR 289,33 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 9934,Super Luxury (Non AC Seater 2+2 Push Back),06:00,03h 00m,09:00,3.7,INR 289,33 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 1884,Rajdhani (AC Semi Sleeper 2+2),06:10,03h 00m,09:10,3.0,INR 351,33 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 41710,Super Luxury (Non AC Seater 2+2 Push Back),06:20,02h 40m,09:00,4.4,INR 289,33 Seats available
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,TGSRTC - 2981,Rajdhani (AC Semi Sleeper 2+2),06:25,02h 40m,09:05,2.8,INR 351,33 Seats available
