Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 1927,Low Floor AC Seater 2+2,12:30,05h 49m,18:19,3.0,INR 383,16 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2718,Super Fast Non AC Seater (2+3),13:50,06h 10m,20:00,4.9,INR 209,41 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 427,Super Fast Non AC Seater (2+3),13:55,06h 25m,20:20,3.0,INR 269,48 Seats available
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,KSRTC (Kerala) - 3195,Swift Deluxe Non AC Air Bus (2+2),15:25,04h 55m,20:20,2.8,INR 278,27 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,KSRTC (Kerala) - 2711,Super Fast Non AC Seater (2+3),16:00,05h 30m,21:30,1.8,INR 269,46 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,KSRTC (Kerala) - 765,Super Fast Non AC Seater (2+3),16:30,05h 50m,22:20,2.8,INR 269,50 Seats available
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,KSRTC (Kerala) - 1164,Super Fast Non AC Seater (2+3),12:02,06h 33m,18:35,4.3,INR 273,38 Seats available
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,KSRTC (Kerala) - 814,Super Fast Non AC Seater (2+3),13:25,05h 50m,19:15,4.1,INR 285,40 Seats available
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,KSRTC (Kerala) - 1129,Super Fast Non AC Seater (2+3),14:01,06h 15m,20:16,3.5,INR 273,35 Seats available
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 55,SWIFT-GARUDA A/C SEATER BUS,12:00,06h 00m,18:00,4.2,INR 391,1 Seat available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 1076,Super Fast Non AC Seater (2+3),13:00,06h 15m,19:15,3.7,INR 285,35 Seats available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 805,Super Fast Non AC Seater (2+3),13:30,06h 15m,19:45,4.8,INR 285,2 Seats available
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,,
Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,KSRTC (Kerala) - 1927,Low Floor AC Seater 2+2,12:30,10h 30m,23:00,2.9,INR 742,16 Seats available
Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,KSRTC (Kerala) - 427,Super Fast Non AC Seater (2+3),13:55,12h 00m,01:55,2.9,INR 515,48 Seats available
Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,KSRTC (Kerala) - 2391,Low Floor AC Seater 2+2,15:30,10h 20m,01:50,2.9,INR 723,21 Seats available
