Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",VIVIN Travels,A/C Sleeper (2+1),22:50,07h 10m,06:00,4.6,700,10 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Rathimeena Travels A,A/C Sleeper (2+1),23:30,06h 00m,05:30,4.5,INR 705,9 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",DELTAKING TRAVELS,A/C Seater / Sleeper (2+1),23:25,06h 40m,06:05,4.6,INR 597,19 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",PR Travels,A/C Sleeper (2+1),23:30,06h 15m,05:45,4.5,INR 750,16 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Rathimeena Travels C,Non A/C Seater / Sleeper (2+1),22:30,06h 00m,04:30,4.4,INR 540,26 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Shanmuga Travels (VIP),A/C Sleeper (2+1),22:25,06h 50m,05:15,4.3,INR 700,22 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Tranz king travels,A/C Sleeper (2+1),23:30,06h 30m,06:00,4.2,INR 700,18 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Tranz king travels,A/C Sleeper (2+1),14:30,06h 45m,21:15,4.3,INR 650,9 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Rathimeena Travels A,VE A/C Seater / Sleeper (2+1),23:15,06h 20m,05:35,4.3,INR 610,12 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",YBM Travels(BLM),A/C Sleeper (2+1),23:30,06h 00m,05:30,4.1,INR 760,28 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=New%20Bus%20Stand,%20Kumbakonam&fromCityId=204693&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",VIVIN Travels,A/C Sleeper (2+1),23:10,06h 50m,06:00,4.8,700,11 Seats available
