Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",VIVIN Travels,A/C Sleeper (2+1),22:50,07h 10m,06:00,4.6,700,8 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Rathimeena Travels C,Non A/C Seater / Sleeper (2+1),22:30,06h 00m,04:30,4.5,INR 640,8 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",DELTAKING TRAVELS,A/C Seater / Sleeper (2+1),23:25,06h 40m,06:05,4.7,INR 697,3 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",AdNational Travels CHN,NON A/C Seater/ Sleeper (2+1),22:45,06h 15m,05:00,3.5,INR 600,7 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",PR Travels,A/C Sleeper (2+1),23:30,06h 15m,05:45,4.4,INR 700,12 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",VINOTH TRAVELS,VE A/C Seater / Sleeper (2+1),23:00,06h 15m,05:15,4.3,750,3 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Tranz king travels,A/C Sleeper (2+1),23:30,06h 30m,06:00,4.3,650,6 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Shanmuga Travels (VIP),A/C Sleeper (2+1),22:25,06h 50m,05:15,4.2,INR 700,14 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Sri Singaravelan Travels,NON A/C Airbus (2+2),22:00,07h 30m,05:30,3.2,3899,30 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",(SBLT) Shri Bhagiyalakshimi Travels (MAARA),Non A/C Seater / Sleeper (2+1),23:55,06h 50m,06:45,4.1,459,9 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",YBM Travels(BLM),A/C Sleeper (2+1),23:30,06h 00m,05:30,4.2,INR 750,19 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",(SBLT) Shri Bhagiyalakshimi Travels (MAARA),A/C Seater / Sleeper (2+1),23:59,06h 46m,06:45,4.7,729,7 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",VIVIN Travels,A/C Sleeper (2+1),23:10,06h 50m,06:00,4.2,700,4 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Kumbakonam&fromCityId=427&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Rathimeena Travels A,Non A/C Seater / Sleeper (2+1),23:00,06h 00m,05:00,4.3,INR 540,6 Seats available
