Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:15,07h 50m,07:05,4.8,INR 499,13 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:55,08h 15m,07:10,4.7,INR 459,20 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Krish Travels,A/C Seater / Sleeper (2+1),21:45,08h 30m,06:15,4.7,INR 500,18 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",AdEgloo Travels,A/C Sleeper (2+1),21:00,08h 15m,05:15,4.6,650,4 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",VKV Travels,A/C Sleeper (2+1),15:15,08h 20m,23:35,4.9,1131,7 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",BLUE BIRDS TRAVELS,A/C Sleeper (2+1),21:00,08h 00m,05:00,4.7,760,14 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,08h 30m,07:55,4.8,INR 439,20 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",AdNew Lucky Travels,NON A/C Sleeper (2+1),22:50,08h 10m,07:00,4.0,594,14 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Finch travels,A/C Sleeper (2+1),21:00,07h 35m,04:35,4.8,INR 900,11 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Mettur Super Services(mss),A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,4.6,INR 349,22 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",VKV Travels,A/C Sleeper (2+1),21:30,08h 10m,05:40,4.7,874,8 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Luxe Xpress,A/C Sleeper (2+1),21:16,08h 54m,06:10,4.4,650,9 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Krish Travels,NON AC Seater / Sleeper 2+1,22:45,08h 15m,07:00,4.6,INR 400,24 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",RP Tours and Travels,A/C Sleeper (2+1),23:15,07h 45m,07:00,4.7,INR 690,20 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",RP Tours and Travels,A/C Sleeper (2+1),21:15,08h 05m,05:20,4.7,INR 690,19 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",THIRU Travels,A/C Seater / Sleeper (2+1),21:10,08h 05m,05:15,4.6,INR 449,4 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Sri Kumaran Travels,A/C Sleeper (2+1),23:15,07h 45m,07:00,4.7,INR 699,15 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",LION Travels,A/C Seater / Sleeper (2+1),21:50,07h 55m,05:45,4.6,475,28 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Sri Kumaran Travels,A/C Sleeper (2+1),20:30,08h 15m,04:45,4.7,INR 799,12 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Zingbus Plus,A/C Sleeper (2+1),21:15,08h 00m,05:15,4.7,704,21 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",SRI MEENAKSHI TRAVELS,A/C Sleeper (2+1),22:10,07h 55m,06:05,4.8,INR 849,24 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Zingbus Plus,AC Sleeper (2+1),21:31,08h 29m,06:00,4.6,698,17 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",VKV Travels,A/C Sleeper (2+1),22:20,07h 35m,05:55,4.8,1159,11 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=null&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=2-Apr-2025&opId=0&busType=Any",Krish Travels,A/C Sleeper (2+1),21:00,08h 30m,05:30,4.6,INR 750,11 Seats available
