Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",RP Tours and Travels,A/C Sleeper (2+1),23:15,07h 45m,07:00,4.8,INR 790,21 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",RP Tours and Travels,A/C Sleeper (2+1),21:15,08h 05m,05:20,4.8,INR 790,18 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:00,08h 30m,05:30,4.8,INR 459,27 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",AdNew Lucky Travels,A/C Sleeper (2+1),21:45,08h 05m,05:50,4.0,INR 599,28 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Mettur Super Services(mss),A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,4.7,INR 550,19 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Krish Travels,A/C Seater / Sleeper (2+1),21:45,08h 30m,06:15,4.6,INR 550,23 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Krish Travels,NON AC Seater / Sleeper 2+1,22:45,08h 15m,07:00,4.6,INR 450,26 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",AdVignesh TAT,A/C Sleeper (2+1),23:00,09h 35m,08:35,4.1,878,15 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,AC Sleeper (2+1),22:00,08h 15m,06:15,4.7,INR 659,18 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",THIRU Travels,A/C Seater / Sleeper (2+1),21:10,08h 05m,05:15,4.6,INR 599,21 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Zingbus Plus,AC Sleeper (2+1),21:31,09h 09m,06:40,4.6,760,15 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Krish Travels,A/C Sleeper (2+1),21:00,08h 30m,05:30,4.6,INR 700,14 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Finch travels,A/C Sleeper (2+1),21:00,07h 35m,04:35,4.7,INR 900,18 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:40,09h 30m,06:10,4.6,INR 409,32 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",BLUE BIRDS TRAVELS,A/C Sleeper (2+1),08:50,07h 30m,16:20,4.6,713,12 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Sri Kumaran Travels,A/C Seater / Sleeper (2+1),22:15,08h 00m,06:15,4.6,INR 550,28 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Egloo Travels,A/C Sleeper (2+1),21:00,08h 15m,05:15,4.6,650,9 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Egloo Travels,A/C Sleeper (2+1),21:30,07h 55m,05:25,4.6,550,11 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Sri Kumaran Travels,A/C Sleeper (2+1),23:15,07h 45m,07:00,4.6,INR 899,22 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:30,08h 05m,06:35,4.5,INR 459,35 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Sri Kumaran Travels,A/C Sleeper (2+1),20:30,08h 15m,04:45,4.6,INR 799,16 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",LION Travels,A/C Seater / Sleeper (2+1),21:50,07h 55m,05:45,4.5,INR 500,36 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",National Travels CHN,Bharat Benz A/C Seater /Sleeper (2+1),21:15,08h 10m,05:25,4.5,INR 500,27 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Luxe Xpress,NON A/C Seater/ Sleeper (2+1),21:30,08h 30m,06:00,4.3,400,25 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",Sri Kumaran Travels,A/C Sleeper (2+1),10:15,08h 50m,19:05,4.6,INR 649,15 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",FlixBus,A/C Sleeper (2+1),11:00,08h 50m,19:50,4.3,562,33 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=Madurai&fromCityId=126&srcCountry=IND&toCityName=CMBT,%20Chennai,%20Chennai&toCityId=66065&destCountry=IND&onward=26-Apr-2025&opId=0&busType=Any",FlixBus,A/C Sleeper (2+1),21:30,08h 05m,05:35,4.7,INR 606.25,26 Seats available
