Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=null&onward=2-Apr-2025&opId=0&busType=Any",Krish Travels,A/C Seater / Sleeper (2+1),21:15,09h 15m,06:30,4.7,INR 400,13 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=null&onward=2-Apr-2025&opId=0&busType=Any",THIRU Travels,A/C Seater / Sleeper (2+1),21:10,08h 45m,05:55,4.7,INR 399,22 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=null&onward=2-Apr-2025&opId=0&busType=Any",VKV Travels,A/C Sleeper (2+1),18:15,09h 40m,03:55,4.8,1340,5 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=null&onward=2-Apr-2025&opId=0&busType=Any",AdNew Lucky Travels,A/C Sleeper (2+1),22:40,08h 20m,07:00,4.2,INR 525,24 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=null&onward=2-Apr-2025&opId=0&busType=Any",BLUE BIRDS TRAVELS,A/C Sleeper (2+1),21:30,08h 00m,05:30,4.6,760,3 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=null&onward=2-Apr-2025&opId=0&busType=Any",LION Travels,A/C Seater / Sleeper (2+1),21:50,08h 45m,06:35,4.6,428,25 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=null&onward=2-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:48,08h 27m,06:15,4.6,INR 399,21 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=null&onward=2-Apr-2025&opId=0&busType=Any",AdFinch travels,A/C Sleeper (2+1),22:30,08h 00m,06:30,4.4,INR 850,7 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=null&onward=2-Apr-2025&opId=0&busType=Any",Egloo Travels,A/C Sleeper (2+1),21:30,08h 15m,05:45,4.6,550,9 Seats available
Coimbatore to Chennai,"https://www.redbus.in/search?fromCityName=CMBT,%20Chennai,%20Chennai&fromCityId=66065&srcCountry=IND&toCityName=Madurai&toCityId=126&destCountry=null&onward=2-Apr-2025&opId=0&busType=Any",IntrCity SmartBus,A/C Seater / Sleeper (2+1),20:58,08h 32m,05:30,4.5,INR 399,17 Seats available
